Clinic Name,Address,State,Email,Google_Full_Address,Latitude,Longitude,Extracted_Pincode,Mapped_District,Brand_name,Clinic_Type
Bharani Hospital,"3300/1A1, Shanthi Nagar, Thanjavur",TAMIL NADU,bharanihospitaltnj@gmail.com,"3300, 1A1, Yagappa Nagar Main Rd, Shanthi Nagar, Parisutham Nagar, Thanjavur, Tamil Nadu 613006",10.762737,79.1369844,613006,Thanjavur,BHARANI,Independent
BHARATH HOSPITAL,"NO.72,1ST MAIN RAOD, NANGANALLUR,CHENNAI",TAMIL NADU,bhofficead@yahoo.in,"72, 1st Main Rd, Ram Nagar, Nanganallur, Chennai, Tamil Nadu 600061",12.9826445,80.1865781,600061,Chennai,BHARATH,Independent
BHARATH IVF,BHARATH SPECIALTY HOSPITAL,TAMIL NADU,bshospitalao@gmail.com,"Pari Towers, 7, 1st Main Rd, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu 600061",12.9829323,80.169009,600061,Chennai,BHARATH,Independent
Bharathi Advanced Fertility and Womenâ€™s Centre,"Bharathi Hospital,115, Alagar koil Road , K Pudur , Madurai",TAMIL NADU,bharathifertility@gmail.com,"115, Alagar Kovil Main Rd, K.Pudur, Madurai, Tamil Nadu 625007",9.9452098,78.1288425,625007,Madurai,BHARATHI,Independent
BHARATI FERTILITY & WOMEN CENTER,"NO : 22-B OLD TOWNSHIP ROAD, AMBATTUR",TAMIL NADU,ushaviswanathan820@gmail.com,"First floor, 22B, Old Twp Rd, Venkatapuram, Vijayalakshmi Puram, Ambattur, Chennai, Tamil Nadu 600053",13.123373,80.1295816,600053,Chennai,BHARATI,Chained
BHARATI FERTILITY CENTER,"NO.206A,GST ROAD,URAPAKKAM,CHENNAI",TAMIL NADU,BFCURAPAKKAM2023@GMAIL.COM,"206-A, near GST Road, Bharathi Nagar, Urapakkam, Chennai, Tamil Nadu 603210",12.863639,80.0531387,603210,Chengalpattu,BHARATI,Chained
BHARATI FERTILITY CENTER,"New no-49, old no-21, venkatakrishna road, mandaiveli,chennai",TAMIL NADU,dr@bharatifertility.com,"New no: 49, Old no: 21, Venkatakrishna Rd, opp. to bank of baroda, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028",13.0265904,80.2414014,600028,Chennai,BHARATI,Chained
Bhavya Fertility Centre,"5(1), Thennampalayam main road, Tirupur.",TAMIL NADU,poongodiselvaraj@gmail.com,"38QW+2VF, Thennampalayam, Tiruppur, Tamil Nadu 641604",11.087557,77.3445952,641604,Coimbatore,BHAVYA,Independent
Bhoga Andrology and Fertility Centre,"58/2, H Block, Vedam Ambuja Apartments, 2nd Street, Anna Nagar East, Chennai",TAMIL NADU,bhogafertility@yahoo.com,"Ground Floor, Vedam Ambujam Apartments, H 58/2, H Block, Agathiyar Nagar Extension 2nd St, Annanagar East, Chennai, Tamil Nadu 600102",13.089193,80.1983919,600102,Chennai,BHOGA,Independent
BloomLife Hospital,"No-32, Tharamani Link road, Velachery, Chennai, Tamilnadu",TAMIL NADU,admin@bloomhealthcare.in,"BloomLife Hospital 32, Taramani Link Rd, VGP Seetapathi Street, Baby Nagar, Velachery, Chennai, Tamil Nadu 600042",12.979663,80.2071064,600042,Chennai,BLOOMLIFE,Independent
BOOMANURSING HOME,"22,GOKHALE ROAD,CHINNA CHOKKIKULAM,MADURAI",TAMIL NADU,boomanursinghome@gmail.com,"22, Gokhale Rd, Chinna Chokikulam, Madurai, Tamil Nadu 625002",9.9357056,78.1318653,625002,Madurai,BOOMANURSING,Independent
C.M.HOSPITAL,"1 , 47th street, NANGANALLUR",TAMIL NADU,drkrithikamanimaran@gmail.com,"Opposite to Nehru Government School 1, 47th Street, 5th Main Rd, Nanganallur, Chennai, Tamil Nadu 600061",13.0138436,80.171698,600061,Chennai,CMHOSPITAL,Independent
CARE CENTRE  LAKSHMI HOSPITAL,40 BASHYAM STREET MANJAKUPPAM CUDDALORE,TAMIL NADU,ARUNDKIRUBA@GMAIL.COM,"40, Bashyam St, North Venugopalapuram, Allpettai, Manjakuppam, Cuddalore, Tamil Nadu 607001",11.761291,79.7421628,607001,Cuddalore,CARE,Independent
Caroline John Fertility,Caroline John Hospital,TAMIL NADU,joekaushik007@gmail.com,"Asaripallam Road, Nesamony Nagar, Nagercoil, Tamil Nadu 629001",8.1763931,77.3888029,629001,Kanyakumari,CAROLINE,Independent
Cayal fertility and women's centre,"No.3/148, First floor, Solai apartment, Mount Poonamalle Road, Manapakkam - Porur, Chennai - 600 125",TAMIL NADU,Cayalfertility@gmail.com,"173, 1st Floor, Mount Poonamallee Rd, Ramapuram, Adithi Colony, Porur, Chennai, Tamil Nadu 600116",13.0289633,80.1495638,600116,Chennai,CAYAL,Independent
"Centre for Reproductive Medicine  & Fertility Department , M/s. PSG Hospitals","Post Box No.1674, Off Avanashi Road, Peelamedu.",TAMIL NADU,crmivfclinic@psgimsr.ac.in,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",11.0186258,76.9862153,641004,Coimbatore,CENTRE,Independent
chandra fertility research center,"chandra nursing home,48/104,fort main road,namakkal",TAMIL NADU,chandraivf@gmail.com,"48, Kottai Rd, Thillaipuram, Namakkal, Tamil Nadu 637001",11.2242044,78.1440163,637001,Namakkal,CHANDRA,Independent
Chella fertility centre,"3, sambasivam pillai  street , Ariyalur",TAMIL NADU,spkrpk@gmail.com,"3, Sambasivam Pillai St, Ethraj Nagar, Ariyalur, Tamil Nadu 621704",11.137836,79.052782,621704,Trichy,CHELLA,Independent
CHENNAI FERTILITY CENTER AND RESEARCH INSTITUTE,"79/129, NELSON MANICKAM ROAD, AMINJIKARAI, CHENNAI, TAMIL NADU",TAMIL NADU,thomasivf@gmail.com,"No: 79/129, Nelson Manickam Rd, Rajaram Mehta Nagar, Aminjikarai, Chennai, Tamil Nadu 600030",13.0691786,80.2051351,600030,Chennai,CHENNAI,Independent
Cherish Hospital,"12 Cholambedu Road, Thirumullaivoyal Chennai-600062",TAMIL NADU,cherishhospital@gmail.com,"12, Cholambedu Rd, near Golden Super Market, Venugopal Nagar, Thirumullaivoyal, Chennai, Tamil Nadu 600062",13.1299156,80.1108727,600062,Chennai,CHERISH,Independent
cherub fertility clinic,c4 saraswathynagar first street rajakilpakkam chennai,TAMIL NADU,josephsonraj@gmail.com,"C4, VGP Saraswathy Nagar , First Street, Rajakilpakkam , Tambaram East, Chennai, Tamil Nadu 600073",12.9154493,80.1366228,600073,Chennai,CHERUB,Independent
CIMAR  COIMBATORE -MANU HOSPITAL,"NO-1,PAARI NAGAR,SUNGAM BYPASS ROAD,COIMBATORE",TAMIL NADU,manunabh@gmail.com,"XXVM+G7P, Paari Nagar, Sungam Bye-pass Road,, Coimbatore, Tamil Nadu 641045",10.9938754,76.9625954,641045,Coimbatore,CIMAR,Independent
CK FERTILITY CENTRE,"41, BALASUBBARAYALU STREET",TAMIL NADU,fertility@ckmh.in,"41, Balasubbarayalu St, Surampattivalasu, Erode, Tamil Nadu 638001",11.3349835,77.6989029,638001,Erode,CK,Independent
CS MULTISPECIALITY HOSPITAL AND AMALA FERTILITY CENTRE,"111, MAHATHMA GANDHI ROAD, SOODAMANIPURAM, KARAIKUDI",TAMIL NADU,csmultispecialityhospital7@gmail.com,"Mahathma Gandhi Road, Soodamanipuram, Ananda Nagar, Karaikudi, Tamil Nadu 630003",10.0708598,78.7640284,630003,Sivaganga,CS,Independent
Daara Testtube Baby Centre,"4/77,Chokkar Street, Theni, Tamilnadu.",TAMIL NADU,rajagopalandamodaran@yahoo.in,"76 Chokkar street, Madurai Main Rd, Theni, Tamil Nadu 625531",10.0097402,77.4586114,625531,Madurai,DAARA,Independent
Deepa Hospital,"No 6, Thiruverkadu Main Road,Ayapakkam",TAMIL NADU,drsashi@deepahospital.in,"6, Tiruverkadu Rd, Dharma Nagar, Ayappakkam, Chennai, Tamil Nadu 600077",13.0978821,80.1182569,600077,Chennai,DEEPA,Independent
DEEPAM TEST TUBE BABY CENTRE,"2/1 GANAPATHY NAGAR, CUDDALORE MAIN ROAD, VAZHAPADY(PO) (TK) SALEM(DT)",TAMIL NADU,deepamhosvpy@gmail.com,"MC44+WQG, 2/1 Ganapathy Nagar, Cuddalore Main Road, Attur Main Rd, Vazhapadi, Tamil Nadu 636115",11.6427803,77.9473844,636115,Salem,DEEPAM,Independent
Deepham Hospital,"No. 40, Gingee Road, Tindivanam, Villupuram District",TAMIL NADU,deephamhospital@gmail.com,"6JQX+34Q, 3, Othavadai St, Roshanai, Tindivanam, Tamil Nadu 604001",12.2378022,79.6272555,604001,Viluppuram,DEEPHAM,Independent
Department of Reproductive Medicine and Surgery,Christian Medical College,TAMIL NADU,rmu@cmcvellore.ac.in,"IDA Scudder Rd, Vellore, Tamil Nadu 632004",12.9047103,79.0212401,632004,Vellore,DEPARTMENT,Independent
DEVI HOSPITAL,FOUR ROADS ELAMBALUR PERAMBALUR DISTRICT,TAMIL NADU,dharmada2012@gmail.com,"Devi hospital four road, Tamil Nadu 621220",11.2433182,78.8728348,621220,Trichy,DEVI,Independent
DHANYA HOSPITALS,"589, TENKASI ROAD, RAJAPALAYAM.",TAMIL NADU,nivedhan2003@gmail.com,"Tenkasi Rd, near Chokkar Kovil, South Sammanthapuram, Rajapalayam, Vadakku Venganallur, Tamil Nadu 626117",9.4436121,77.5303795,626117,Virudhunagar,DHANYA,Independent
Dharan Womens Care Fertility Centre,"J4GW+242, Selva Nagar, Chinnusamy Nagar, Seelanaickenpatti, Salem, Tamil Nadu",TAMIL NADU,dwc@dharanhospital.com,"J4GW+242, Selva Nagar, Chinnusamy Nagar, Seelanaickenpatti, Salem, Tamil Nadu 636201",11.6250657,78.1246513,636201,Salem,DHARAN,Independent
Dharshan Fertility & Medical centre,"New No: 31, Old No: R-72, Maraimalai Adigal Street, MMDA Colony, Arumbakkam",TAMIL NADU,drsumathy.dharshan@gmail.com,"no R, New no 31,old, 72, Maraimalai Adigal St, MMDA Colony, Arumbakkam, Chennai, Tamil Nadu 600106",13.0682358,80.1957855,600106,Chennai,DHARSHAN,Independent
Diksha Fertility Center,"294, Alagarkovil road, Melur62",TAMIL NADU,gayagok@gmail.com,"301, Alagar Kovil Rd, Melur, Tamil Nadu 625106",10.0331116,78.3346233,625106,Madurai,DIKSHA,Independent
Divine Hospital,"131,Fairlands main road , New fairlands ,Salem",TAMIL NADU,divinehospital21@gmail.com,"63, New Fairlands Main Rd, New Fairlands, Alagapuram Periyaputhur, Salem, Tamil Nadu 636016",11.6783674,78.1189345,636016,Salem,DIVINE,Independent
diya fertility centre,no 5 e2 e2 road chinnachokkikulam madurai,TAMIL NADU,diyafertilitymadurai25@gmail.com,"Kennet Hospital road, Railway colony zone 1, 70, 70 Feet Rd, Vaithiyanathapuram, Madurai, Tamil Nadu 625016",11.429351,76.5284445,625016,Madurai,DIYA,Independent
DNV POLYCLINIC,"NO.7, RAJAGOPAL GOUNDER STREET, DHARMAPURI - 636 701",TAMIL NADU,dvmanimaran@gmail.com,"7, Rajagopal Gounder St, Dharmapuri, Tamil Nadu 636701",12.1240604,78.1471236,636701,Salem,DNV,Independent
Dr Aravind ivf,"no 30, 37 Guru Thoppu 4th street, phase 1 Sathuvachari, Vellore, Tamil nadu",TAMIL NADU,ivfvellore@outlook.com,"No. 30, 37, Guru Thoppu, 4th Street, Phase 1, Sathuvachari, Vellore, Tamil Nadu 632009",12.9371269,79.1419611,632009,Vellore,ARAVIND,Chained
DR ARAVINDS ISWARYA IVF,"Avinashi Main Rd, Anupparpalayam Pudur, Tiruppur, Tamil Nadu 641652",TAMIL NADU,TIRUPPUR@ISWARYAFERTILITY.IN,"Avinashi Main Rd, Anupparpalayam Pudur, Tiruppur, A.Thirumuruganpoondi, Tamil Nadu 641652",11.1431857,77.3151985,641652,Coimbatore,ARAVIND,Chained
DR ARAVINDS ISWARYA IVF,"189, Sathy Rd, Gopalakrishnapuram, Ganapathy, Coimbatore, Tamil Nadu",TAMIL NADU,CBR@ISWARYAFERTILITY.IN,"189, Sathy Rd, Gopalakrishnapuram, Ganapathy, Coimbatore, Tamil Nadu 641006",11.0465567,76.9662675,641006,Coimbatore,ARAVIND,Chained
DR ARAVINDS ISWARYA IVF,"Omalur Main Rd, Indirani Nagar, Narasothipatti, Salem, Tamil Nadu",TAMIL NADU,SALEM@ISWARYAFERTILITY.IN,"Omalur Main Rd, Indirani Nagar, Narasothipatti, Salem, Tamil Nadu 636004",11.6798992,78.108994,636004,Salem,ARAVIND,Chained
DR ARAVINDS ISWARYA IVF,"No 059, 55 A, Perundurai Rd, Pari Nagar, Kumalan Kuttai, Erode, Tamil Nadu 638011",TAMIL NADU,ERODE@ISWARYAFERTILITY.IN,"059/55 A, Perundurai Rd, Pari Nagar, Kumalan Kuttai, Erode, Tamil Nadu 638011",11.334085,77.6842903,638011,Erode,ARAVIND,Chained
DR ARAVINDS IVF,"133, THIRUKANCHI NAMBI STREET, KANCHIPURAM",TAMIL NADU,KANCHIPURAM@DRARAVINDSIVF.COM,"No 133, Ground floor, TK Nambi St, Tamil Nadu 631501",12.8229628,79.6916786,631501,Kanchipuram,ARAVIND,Chained
DR ARAVINDS IVF,"3224, TNHB Rd, Ma. Po. Si. Nagar, Thiruvallur, Tamil Nadu",TAMIL NADU,thiruvallur@draravindsivf.com,"3224, TNHB Rd, Ma. Po. Si. Nagar, Tiruvallur, Kakkalur, Tamil Nadu 602001",13.1371127,79.8908987,602001,Tiruvallur,ARAVIND,Chained
DR ARAVINDS IVF,"FIRST FLOOR, DOOR NO: 20/C113, FORT STATION ROAD, 5TH CROSS EAST, THILLAI NAGAR, TRICHY.",TAMIL NADU,trichy@draravindsivf.com,"NO 20, C113, 5th Cross, Fort Station Rd E, West Thillai Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",10.8241089,78.6644395,620018,Trichy,ARAVIND,Chained
DR ARAVINDS IVF,"No 4/335, KVM Arcade, Bagalur Rd, Hosur, Tamil Nadu",TAMIL NADU,HOSUR@DRARAVINDSIVF.COM,"No 4/335, KVM Arcade, Bagalur Rd, Hosur, Tamil Nadu 635109",12.7473459,77.8130465,635109,Krishnagiri,ARAVIND,Chained
DR ARAVINDS IVF,"No 135/45, Medavakkam Main Road, Ullagaram, Tamil Nadu",TAMIL NADU,MADIPAKKAM@DRARAVINDSIVF.COM,"MSP Complex, Medavakkam Main Rd, Vigneshwar Nagar, Balaji Nagar, Vanuvampet, Madipakkam, Chennai, Tamil Nadu 600091",12.9720974,80.1705157,600091,Chennai,ARAVIND,Chained
DR ARAVINDS IVF,"2/343-A, Nethaji Nagar, Mobiripatti, Harur, Tamil Nadu",TAMIL NADU,harur@draravindsivf.in,"2/343-A, Nethaji Nagar, Mobiripatti, Harur, Tamil Nadu 636903",12.065936,78.451798,636903,Salem,ARAVIND,Chained
Dr Archana IVF & Women Centre - A Unit of VHPL,"NEW NO : 44, F block , 1st street, Anna Nagar East, Chennai",TAMIL NADU,profshivanraj@gmail.com,"new no: 12, J25, Agathiyar Nagar Extension 2nd St, J Block, Annanagar East, Chennai, Tamil Nadu 600102",13.0909862,80.1984121,600102,Chennai,ARCHANA,Independent
Dr Fatimaâ€™s Fertility & Womenâ€™s Clinic,"1587, 6th Avenue, Anna Nagar",TAMIL NADU,fatima971@gmail.com,"1587, 6th Ave, P Block, Vasantham Colony, Anna Nagar, Chennai, Tamil Nadu 600040",13.0928552,80.1863371,600040,Chennai,FATIMA,Independent
Dr Gopalapillais Hospital,2A KP Road Ramavarmapuram Nagercoil,TAMIL NADU,gph.indsure@gmail.com,"K, SP Office Rd, Simon Nagar, Ramavarmapuram, Nagercoil, Tamil Nadu 629001",8.1765099,77.406858,629001,Kanyakumari,GOPALAPILLAI,Independent
DR PAVI WOMENS HEALTH AND FERTILITY CENTRE,"PLOT NO.C1-B,TNHB PHASE-8,NEW ASTC HUDCO,100 FEET ROAD,HOSUR",TAMIL NADU,pavithrasn.gowda@gmail.com,"100 feet road 100 Feet Road, Hosur - Thally Rd, behind vailankanni school, New ASTC Hudco, Hosur, Tamil Nadu 635109",12.7343536,77.7954629,635109,Krishnagiri,PAVI,Independent
DR THANGAVELU FERTILITY CENTRE,SRI ADHIPARASAKTHI HOSPITAL 66 THONDI ROAD SIVAGANGA,TAMIL NADU,tamilkaangeyam@gmail.com,"CB Colony, Sivaganga, NH-230, Madurai Thondi Road, Sivaganga, Sivaganga, 630561",9.8486466,78.4771023,630561,Sivaganga,THANGAVELU,Independent
Dr.Jeyasekharan Medical Trust - THE GIFT,"253 G, K.P. Road, Nagercoil",TAMIL NADU,jeyasekharanmedicaltrust@gmail.com,"Kottar-Parvathipuram Rd, Weavers Colony, Nagercoil, Tamil Nadu 629003",8.1849992,77.3892491,629003,Kanyakumari,DRJEYASEKHARAN,Independent
Dr.Kumarasamy Hospital,"No 22,Poosari chennimalai Street 1",TAMIL NADU,drkumarasamyhospital@gmail.com,"22, Poosari Chennimalai St, Erode, Tamil Nadu 638009",11.3345272,77.6964218,638009,Erode,DRKUMARASAMY,Independent
Dr.M .Vijayaraghavan memorial hospital,19.a.n.kandigai 4th street  palanipet Arakkonam,TAMIL NADU,mythipras@gmail.com,"A.N, 19, Kandigai 4th street, Palanipet, Arakkonam, Tamil Nadu 631002",13.0791812,79.671944,631002,Kanchipuram,DRM,Independent
Dr.Sathars Hospital,"23/A, Second Street ,Kuruvikkaran Salai, Anna nagar, Madurai",TAMIL NADU,heeraayub@gmail.com,"2nd Street, Kuruvikaran Salai, Anna Nagar, 23-A, Gandhi St, Near Anna Bus Stand, Madurai, Tamil Nadu 625020",9.9227621,78.1365529,625020,Madurai,DRSATHAR,Independent
DR.SENGALIAPPAN NURSING HOME,"580,N.S.R ROAD SAIBABACOLONY,COIMBATORE",TAMIL NADU,drsnh1950@gmail.com,"580, NSR Rd, Saibaba Colony, Coimbatore, Tamil Nadu 641011",11.0272214,76.9296784,641011,Coimbatore,DRSENGALIAPPAN,Independent
DSF CLINIC,"No.35, 1st Street, 1st Floor, Phase-1, Guru Thoppu, Sathuvachari, Vellore",TAMIL NADU,drarivanban@gmail.com,"No.35, Ist Street, Phase 1, Guru Thoppu, Sathuvachari, Vellore, Tamil Nadu 632009",12.9367008,79.1420556,632009,Vellore,DSF,Independent
Easan Polyclinic,"500 - 1/1, Mahadevapuram, Velur Road, Tiruchengode, Namakal Tamilnadu",TAMIL NADU,sudhatgd2022@gmail.com,"500-1/1, Tiruchengode - Paramathi - Velur Rd, CHB Colony, Mahadhavapuram, Tiruchengode, Tamil Nadu 637211",11.3684934,77.8683025,637211,Namakkal,EASAN,Independent
Easvara Hospital,"1B, Old Post Office Road, Tallakulam, Madurai",TAMIL NADU,easvarahospital@gmail.com,"Ground, Near, Old Post Office Road, 1-B, Perumal Koil St, Madurai, Tamil Nadu 625002",9.9328697,78.1326791,625002,Madurai,EASVARA,Independent
Easy Mom Fertility and Maternity Care,"Plot 1A, Mambakkam Main road, Medavakkkam Chennai",TAMIL NADU,hosp5656@gmail.com,"Plot 1A, Mambakkam - Medavakkam Main Rd, opp. Sekar Stores, VGP Layout, Vengavasal, Chennai, Tamil Nadu 600100",12.9053645,80.1676914,600100,Chennai,EASY,Independent
EDISON HOSPITAL,"286, KULASAI ROAD, TIRUCHENDUR",TAMIL NADU,edisonhospitaltcr@gmail.com,"286, Kulasai Main Rd, Thiruchendur, Tamil Nadu 628215",8.4931914,78.0964474,628215,Thoothukudi,EDISON,Independent
EMMESS IVF CENTRE,"Emmess women care centre ,33-c , Hospital road, Kanchipuram-631502",TAMIL NADU,emmesshelp@gmail.com,"Hospital Rd, Nellukara st, Kanchipuram, Tamil Nadu 631502",12.8349282,79.6906071,631502,Kanchipuram,EMMES,Independent
ESI HOSPITAL AYANAVARAM,"No.37, Medavakkam Tank Road, Ayanavaram, Chennai â€“ 23",TAMIL NADU,superintendentesi@gmail.com,"53, Medavakkam Tank Rd, Thiruvalluvar Nagar, Dr Ambedkar Nagar, Sanyasipuram, Ayanavaram, Chennai, Tamil Nadu 600023",13.0948889,80.2187189,600023,Chennai,ESI,Independent
EVA IVF and WOMENS CARE,"no 65,Indira Nagar , 3rd Avenue ,Adyar , Chennai",TAMIL NADU,farazfn11@gmail.com,"65, 3rd Ave, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",12.9928618,80.2321584,600020,Chennai,EVA,Independent
Excella Gynecare,"28,Marvel Parambariyam, Kalapatti road, Sarvanampatty",TAMIL NADU,excellagynecare@gmail.com,"28, Kalapatti Main Rd, Marvel Parambariyam, Saravanampatti, Coimbatore, Tamil Nadu 641035",11.0751314,76.9864245,641035,Coimbatore,EXCELLA,Independent
Ezhil fertilityy centre,"Gopinathampatti kootroad,Parayapatty post,Pappireddypatti( Tk),Dharmapuri (DT))",TAMIL NADU,ezhilhospital14@gmail.com,"Gopinathampatti Koot Road, Pappireddipatti, Thaluka, Gobinathampatti, Tamil Nadu 636903",11.9966795,78.4408191,636903,Salem,EZHIL,Independent
Femelife Fertility Foundation Pvt Ltd,"Plot no 2/5, 41st street, 6th Avenue, Ashok Nagar",TAMIL NADU,fertility@femelife.com,"Plot No. 2/5, 41st Street, 6th Ave, Sarvamangala Colony, Ashok Nagar, Chennai, Tamil Nadu 600083",13.040137,80.1930108,600083,Chennai,FEMELIFE,Independent
FERTILITY AND RESEARCH CENTRE ( A UNIT OF KRISHNA HOSPITAL),"KRISHNA HOSPITAL NO : 377, MAIN ROAD, SATTUR, VIRUDHUNAGAR (DT)",TAMIL NADU,akhpltd1@gmail.com,"377, Main Rd, Sattur, Tamil Nadu 626203",9.354765,77.898597,626203,Virudhunagar,FERTILITY,Independent
FIMS FERTILITY & IVF,"NO 193/145, POLLACHI MAIN ROAD, SUNDARAPURAM,",TAMIL NADU,info@fimshospitals.com,"193 145, Pollachi Main Rd, Sundarapuram, Coimbatore, Kurichi, Tamil Nadu 641024",10.9578644,76.9517144,193145,Coimbatore,FIM,Independent
FIRM HOSPITALS,"NO.65, R BLOCK, 12TH STREET, ANNA NAGAR, CHENNAI",TAMIL NADU,drmalaraj@gmail.com,"No.65, R-Block, 12th Street, Block R, Anna Nagar, Chennai, Tamil Nadu 600040",13.091598,80.1933664,600040,Chennai,FIRM,Independent
G G HOSPITAL,"6E, NUNGAMBAKKAM HIGH ROAD, 1A DR.THIRUMURTHY NAGAR, NUNGAMBAKKAM",TAMIL NADU,drkamala@gghospital.in,"1A, Dr, 6-E, Nungambakkam High Rd, Thirumurthy Nagar, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034",13.0555339,80.2271424,600034,Chennai,G,Independent
GANESAMONI HOSPITAL,"NO6. Saraloor, Hindu College Road, Nagercoil",TAMIL NADU,dr.soundaryaraguram@gmail.com,"Ganesamoni Hospital, Hindu College Road, Nagercoil, Tamil Nadu 629002",8.1707786,77.4116052,629002,Kanyakumari,GANESAMONI,Independent
Garbba Rakshambigai Fertility Centre,"4,6th cross street, United India Colony, Kodambakkam",TAMIL NADU,gfcchennai2019@gmail.com,"4, 6th Cross St, United India Colony, Kodambakkam, Chennai, Tamil Nadu 600024",13.0528259,80.2036647,600024,Chennai,GARBBA,Independent
GBR FERTILITY CENTRE AND HOSPITALS,"VKS TOWERS, No.99/1, CHAIRMAN DURAISAMY ROAD, KRISHNAGIRI ROAD, TIRUPATTUR",TAMIL NADU,gbrtpt@gmail.com,"VKS Towers.99/1, Chairman Duraisamy Road, Krishnagiri Road, Tirupathur, Tamil Nadu 635601",12.4972565,78.5551192,635601,Krishnagiri,GBR,Independent
"GBR FERTILITY CENTRE AND HOSPITALS, MUGAPPAIR WEST, CHENNAI","HIG 1027 & 1028, 6TH MAIN ROAD, MUGAPPAIR ERI SCHEME, MUGAPPAIR WEST, CHENNAI",TAMIL NADU,lramesh@gbrclinic.com,"HIG - 1027 & 1028 , 6th Main Road, West, Mogappair Eri Scheme, Mogappair, Chennai, Tamil Nadu 600037",13.0781357,80.1629688,600037,Chennai,GBR,Independent
GEETHASREE HOSPITALS,"103 POONTHOTTAM NAGAR, SARAVANAMPATTY",TAMIL NADU,geethasreehospitals@gmail.com,"103, Sathy Rd, near Kalapatti Pirivu, behind ICICI Bank, Poonthottam Nagar, Ramanandha Nagar, Saravanampatti, Coimbatore, Tamil Nadu 641035",11.0719207,76.9818833,641035,Coimbatore,GEETHASREE,Independent
GENESIS IVF - KOVAI,"17A, COWLEY BROWN ROAD, R.S.PURAM, COIMBATORE",TAMIL NADU,genesisivfkovai01@gmail.com,"17- A, Cowley Brown Rd, R.S. Puram, Coimbatore, Tamil Nadu 641002",11.0151965,76.9318338,641002,Coimbatore,GENESI,Chained
GENESIS IVF - RR,"RR HOSPITAL,NO 121,MUTHALIAR STREET,SUNDARAPURAM,COIMBATORE",TAMIL NADU,genesisivfrr07@gmail.com,"XX5H+P8C, No.121, Mudaliar St, Sundarapuram, Loganathapuram, Podanur, Coimbatore, Tamil Nadu 641023",10.9589063,76.9573782,641023,Coimbatore,GENESI,Chained
GENESIS IVF ADVANCED FERTILITY CLINIC,"PRIYAM SPECIALITY HOSPITALS, 247, BANGALORE BYPASS ROAD, KONDALAMPATTY, SALEM",TAMIL NADU,Priyamgenesis01@gmail.com,"No.247, Bypass Rd, AH43, Kondalampatti, Bengaluru, Salem, Tamil Nadu 636010",11.6347092,78.1035089,636010,Salem,GENESI,Chained
GENESIS IVF Advanced Fertility Clinic,"564,Perundurai Road, Erode-11",TAMIL NADU,dr.sadasivam@gmail.com,"Maaruthi Medical Centre and Hospital, 564, Perundurai Rd, Edayankattuvalasu, Erode, Tamil Nadu 638011",11.338189,77.6924785,638011,Erode,GENESI,Chained
GENESIS IVF ADVANCED FERTILITY CLINIC AND MAARUTHI MEDICAL CENTRE AND HOSPITALS,"NO 1152/30, EVR PERIYAR SALAI , KOYAMBEDU, CHENNAI",TAMIL NADU,dr.karthiksadasivam@gmail.com,"1153/30, Poonamallee High Rd, Virrugambakkam, Koyambedu, Chennai, Tamil Nadu 600107",13.0754609,80.1766956,600107,Chennai,GENESI,Chained
Genesis Royal Infirmary Pvt Ltd,"No 59-62,Puliyakulam Main Road",TAMIL NADU,genesiswcc@gmail.com,"59, Puliakulam Rd, Dhamu Nagar, Puliakulam, Coimbatore, Tamil Nadu 641045",11.0069551,76.9711076,641045,Coimbatore,GENESI,Chained
GHEETH IVF,"GHEETH HOSPITAL, ANNEXRE BUILDING, KOZHIVILAI JUNCTION, KALIYAKKAVILAI",TAMIL NADU,gheethivf@gmail.com,"4/80/A Kozhivilai Junction, P.O, Kaliyakkavilai, Tamil Nadu 629153",8.3315762,77.1483181,629153,Kanyakumari,GHEETH,Independent
Gleneagles Global Health City,"439, Cheran Nagar, Perumbakkam, Chennai 100",TAMIL NADU,ceo.chennai@globalhospitalsindia.com,"439, Cheran Nagar, Sholinganallur, Perumbakkam, Chennai, Tamil Nadu 600100",12.8979986,80.1854618,600100,Chennai,GLENEAGLE,Independent
GOLDEN BUTTERFLY FERTILITY AND WOMEN'S CLINIC,"Plot no- 47, Hemanth properties, Flat C1(first floor), Mount Poonamallee Road, Kattupakkam",TAMIL NADU,goldenbutterflyclinic57@gmail.com,"flat-C1, Hemanth properties, Plot-47, Mount Poonamallee Rd, Kattupakkam, Chennai, Tamil Nadu 600056",13.043502,80.1017467,600056,Chennai,GOLDEN,Independent
Gomathi Speciality Hospital,"52 ,South Street ,Aruppukottai",TAMIL NADU,gsh.apk@gmail.com,"52, South St, Aruppukkottai, Tamil Nadu 626101",9.5073489,78.0720795,626101,Virudhunagar,GOMATHI,Independent
